ID,Fan_area,Fan_perimeter,Fan_length,Fan_width,Form_facto_fan,Altura_max,Altura_min,Fan_relief,Fan_slope,Pendiente_media_abanico,Fan_profile_curvature,Fan_planform_curvature,Fan_ruggednes,Fan_ volume,Tipo_Abanico,Tipo_asentamiento,Poblado,Cordillera,Main_stream_order,Number_streams,Stream_length,Main_stream_ length,Stream_length_ratio,Bifurcation_ratio,Ro_Coefficient,Length_catchmen,Catchment_area,Catchment_perimeter,Form_factor,Elongation_ratio,Circularity_ratio,Compactness_coefficien,Texture_ratio,Fitness_ratio,Wandering_ratio,Stream_frequency,Drainage_density,Constant_channel_Maintenance,Drainage_intensity,Infiltration_numbe,Torrentiality_coefficient,Length_overland_flow,Catchment_relief,Slope_ catchment_channel,Mean_basin_slope,Relief_ratio,Ruggedness_number,Melton_index,Unidad_geologica,Litologia,Subzona_hidrografica,Catchment
90,0.039,0.838,0.302,0.224,0.426,0.437,0.393,0.044,14.6,10.478,0.004,-0.008,1.265,0.0139,AluvioTorrencial,Sin asentamientos,No,Central,5,330,27.478,10.285,1.211,1.732,0.699,9.866,26.437,33.286,0.272,0.588,0.300,1.839,4.957,0.309,1.042,12.483,1.039,0.962,12.010,12.974,6.241,0.481,2.652,25.785,32.363,0.269,31.849,0.516,Batolito Sabanalarga,Ignea Plutonica,Rio Cauca,Torrential
91,1.023,4.761,1.411,1.343,0.514,0.539,0.359,0.18,12.8,11.397,-0.003,-0.016,1.366,0.2659,AluvioTorrencial,Sin asentamientos,No,Central,6,469,46.652,11.906,2.350,3.560,0.661,9.914,41.561,45.107,0.423,0.734,0.257,1.988,5.199,0.264,1.201,11.285,1.122,0.891,10.053,12.667,5.642,0.445,2.586,21.720,34.135,0.261,25.997,0.401,Batolito Sabanalarga,Ignea Plutonica,Rio Cauca,Torrential
92,0.555,4.192,1.723,0.336,0.187,0.979,0.723,0.256,14.9,11.819,-0.010,-0.055,1.415,0.4620,AluvioTorrencial,Centro poblado ,Si,Central,4,218,45.339,6.159,1.896,1.622,1.169,5.423,10.152,13.645,0.345,0.663,0.685,1.217,8.062,0.451,1.136,21.474,4.466,0.224,4.808,95.901,10.835,0.112,1.838,29.843,37.346,0.339,8.838,0.577,Batolito Sabanalarga,Ignea Plutonica,Rio Cauca,Torrential
93,0.026,0.772,0.274,0.189,0.339,0.416,0.361,0.055,20.0,19.196,0.277,-0.454,2.293,0.0158,AluvioTorrencial,Sin asentamientos,No,Central,4,150,10.626,6.184,1.219,1.708,0.713,5.474,9.266,19.042,0.309,0.627,0.321,1.777,3.939,0.325,1.130,16.188,1.147,0.872,14.116,18.564,8.094,0.436,1.884,30.466,30.317,0.344,26.595,0.619,Batolito Sabanalarga,Ignea Plutonica,Rio Cauca,Torrential
94,0.604,5.144,1.116,1.775,0.485,0.546,0.347,0.199,17.8,20.915,-0.159,-0.001,2.737,0.2325,AluvioTorrencial,Sin asentamientos,No,Occidental,8,952,198.84,11.92,2.170,1.380,1.570,8.81,44.84,38.89,0.578,0.858,0.373,1.650,12.240,0.307,1.353,21.231,4.434,0.226,4.788,94.148,10.616,0.113,2.400,20.134,32.773,0.272,11.491,0.358,Formacion Barroso,Ignea Volcanica ,Rio Cauca,Torrential
95,0.071,1.515,0.424,0.415,0.396,0.407,0.332,0.075,17.7,10.451,0.104,-0.171,1.261,0.0333,AluvioTorrencial,Sin asentamientos,No,Central,5,270,14.43,7.971,1.173,1.800,0.651,7.263,14.171,25.539,0.269,0.585,0.273,1.927,5.286,0.312,1.097,19.053,1.018,0.982,18.711,19.401,9.526,0.491,2.376,29.808,34.015,0.327,44.457,0.631,Batolito Sabanalarga,Ignea Plutonica,Rio Cauca,Torrential
96,0.241,2.338,0.566,0.795,0.751,0.468,0.323,0.145,24.0,20.360,-0.049,-0.011,2.544,0.0860,Aluvial,Sin asentamientos,No,Occidental,8,4528,891.93,27.3,2.020,1.590,1.270,19.02,201.86,87.4,0.558,0.843,0.332,1.748,25.904,0.312,1.435,22.431,4.419,0.226,5.077,99.114,11.216,0.113,3.200,11.722,32.941,0.168,16.245,0.225,Formacion Barroso,Ignea Volcanica ,Rio Cauca,Torrential
97,0.380,3.447,0.460,1.350,1.795,0.379,0.306,0.073,15.9,9.337,-0.019,-0.002,1.112,0.0352,AluvioTorrencial,Sin asentamientos,No,Central,4,150,11.78,4.533,2.056,3.666,0.560,5.078,8.546,16.768,0.331,0.650,0.382,1.630,4.473,0.270,0.893,17.552,1.378,0.725,12.733,24.194,8.776,0.363,1.669,36.819,32.782,0.329,21.252,0.571,Formacion Barroso,Ignea Volcanica ,Rio Cauca,Torrential
98,0.351,3.348,0.610,1.059,0.942,0.396,0.258,0.138,22.6,17.452,-0.051,-0.017,2.175,0.0882,Aluvial,Sin asentamientos,No,Occidental,8,2009,393.74,18.16,1.730,1.570,1.100,13.66,92.18,58.17,0.494,0.793,0.342,1.721,17.268,0.312,1.329,21.794,4.271,0.234,5.102,93.093,10.897,0.117,2.590,14.262,31.226,0.190,13.215,0.270,Formacion Barroso,Ignea Volcanica ,Rio Cauca,Torrential
99,0.041,0.956,0.232,0.348,0.755,0.333,0.254,0.079,23.0,17.389,-0.142,0.178,1.120,0.0192,AluvioTorrencial,Sin asentamientos,No,Central,3,100,20.5,4.11,1.804,1.333,1.353,4.363,7.52,15.306,0.395,0.709,0.403,1.586,3.267,0.269,0.942,13.298,2.726,0.367,4.878,36.251,6.649,0.183,1.708,41.557,32.005,0.391,8.332,0.623,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
